0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
0.01,0.3,8101
0.02,0.35,8394
0.03,0.4,8690
0.04,0.45,9013
0.05,0.5,9249
0.06,0.6,9899
0.07,0.65,10214
0.08,0.7,10506
0.09,0.75,10781
0.1,0.8,11089
